Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
India,28,Andhra Pradesh,2015,RAW COAL,POWER (CAPTIVE),1820000
India,5,Uttarakhand,2011,RAW COAL,POWER (CAPTIVE),402000
India,28,Andhra Pradesh,2016,WASHED COAL,METALLURGICAL USE- COKERIES,408000
India,5,Uttarakhand,2014,RAW COAL,OTHER,146000
India,28,Andhra Pradesh,2017,RAW COAL,SPONGE IRON,265000
India,5,Uttarakhand,2017,RAW COAL,OTHER,103000
India,28,Andhra Pradesh,2019,RAW COAL,OTHER,693000
India,6,Haryana,2011,RAW COAL,POWER (CAPTIVE),60000
India,28,Andhra Pradesh,2019,RAW COAL,POWER (CAPTIVE),2199000
India,6,Haryana,2011,RAW COAL,PULP & PAPER,61000
India,28,Andhra Pradesh,2019,RAW COAL,SPONGE IRON,62000
India,6,Haryana,2011,WASHED COAL,POWER (UTILITY),494000
India,28,Andhra Pradesh,2020,RAW COAL,POWER (CAPTIVE),34288000
India,6,Haryana,2012,RAW COAL,POWER (UTILITY),16266000
India,29,Karnataka,2011,RAW COAL,CEMENT,1924000
India,6,Haryana,2014,RAW COAL,FERTILISERS,439000
India,29,Karnataka,2011,RAW COAL,CHEMICAL,6000
India,6,Haryana,2014,RAW COAL,POWER (UTILITY),13293000
India,29,Karnataka,2012,RAW COAL,POWER (CAPTIVE),3294000
India,6,Haryana,2018,RAW COAL,FERTILISERS,342000
India,29,Karnataka,2013,RAW COAL,CEMENT,1358000
India,7,Delhi,2011,RAW COAL,OTHER,131000
India,29,Karnataka,2013,RAW COAL,TEXTILES & RAYONS,150000
India,7,Delhi,2011,WASHED COAL,POWER (UTILITY),1599000
India,29,Karnataka,2014,RAW COAL,POWER (CAPTIVE),3351000
India,7,Delhi,2012,WASHED COAL,POWER (UTILITY),1060000
India,29,Karnataka,2014,RAW COAL,PULP & PAPER,203000
India,7,Delhi,2013,RAW COAL,OTHER,108000
India,29,Karnataka,2015,RAW COAL,CHEMICAL,8000
India,7,Delhi,2014,RAW COAL,PULP & PAPER,84000
India,29,Karnataka,2015,RAW COAL,TEXTILES & RAYONS,182000
India,7,Delhi,2015,MIDDLINGS,POWER (UTILITY),4000
India,29,Karnataka,2016,RAW COAL,POWER (UTILITY),12730000
India,7,Delhi,2015,RAW COAL,PULP & PAPER,34000
India,29,Karnataka,2016,RAW COAL,SPONGE IRON,23000
India,7,Delhi,2016,RAW COAL,POWER (UTILITY),2143000
India,29,Karnataka,2017,RAW COAL,PULP & PAPER,70000
India,7,Delhi,2017,RAW COAL,POWER (CAPTIVE),4000
India,29,Karnataka,2018,RAW COAL,SPONGE IRON,14000
India,7,Delhi,2018,RAW COAL,OTHER,3000
India,29,Karnataka,2018,RAW COAL,TEXTILES & RAYONS,100000
India,7,Delhi,2018,RAW COAL,POWER (UTILITY),211000
India,29,Karnataka,2019,RAW COAL,POWER (UTILITY),12256000
India,7,Delhi,2018,WASHED COAL,POWER (UTILITY),831000
India,29,Karnataka,2019,RAW COAL,SPONGE IRON,23000
India,8,Rajasthan,2011,LIGNITE,POWER (UTILITY),1353000
India,29,Karnataka,2020,RAW COAL,POWER (CAPTIVE),12224000
India,8,Rajasthan,2011,RAW COAL,OTHER,191000
India,30,Goa,2012,RAW COAL,SPONGE IRON,23000
India,8,Rajasthan,2012,RAW COAL,CEMENT,799000
India,30,Goa,2013,RAW COAL,SPONGE IRON,17000
India,8,Rajasthan,2013,LIGNITE,CEMENT,175000
India,32,Kerala,2015,RAW COAL,PULP & PAPER,73000
India,8,Rajasthan,2013,LIGNITE,CHEMICAL,13000
India,32,Kerala,2020,RAW COAL,CEMENT,36000
India,8,Rajasthan,2013,MIDDLINGS,POWER (CAPTIVE),84000
India,33,Tamil Nadu,2012,LIGNITE,POWER (UTILITY),23740000
India,8,Rajasthan,2013,RAW COAL,OTHER,50000
India,33,Tamil Nadu,2012,LIGNITE,STEEL (BOILERS),31000
